video_name,label,frames_with_detection,detection_rate,has_car,has_motorcycle,has_bus,has_backpack,has_handbag,has_suitcase,has_knife,has_laptop,has_cell phone,mean_confidence,mean_bbox_area,mean_movement,max_movement,mean_distance_from_center,large_person_ratio,high_confidence_ratio,avg_persons_per_frame,var_movement,var_bbox_area,var_confidence,var_persons_per_frame,max_persons_per_frame,max_bbox_area,min_bbox_area,max_confidence,min_confidence,extreme_movement_count,crowd_frames_count
10,anomaly,161,0.8429319371727748,1,1,0,1,0,0,0,0,0,0.66615003,1762.1305,38.89689458777075,223.66455078125,205.49876,0.0,0.2360248447204969,3.732919254658385,1945.9207606038383,1817018.9,0.0270098,5.134472049689441,8,6313.1826,236.63853,0.905809,0.30506533,53,66
113,anomaly,47,0.5465116279069767,1,0,0,0,0,0,0,0,0,0.5547142,785.84393,27.5735073216418,127.56852722167967,193.22444,0.0,0.0,2.148936170212766,1034.110479321751,155422.62,0.018026676,0.738205365402405,3,1737.8933,173.07803,0.7837032,0.3465873,9,0
119,anomaly,62,0.8985507246376812,0,0,0,0,0,0,0,0,0,0.6600984,6615.402,33.39976948012988,137.60426330566406,220.3948,0.3387096774193548,0.2419354838709677,1.8387096774193548,1564.7590627912882,21070118.0,0.030462857,0.4325753569539926,3,16115.241,1319.8524,0.9136755,0.3066059,18,0
142,anomaly,534,1.0,0,0,0,0,0,1,0,1,0,0.5835519,4692.9683,68.26039784966727,276.9848022460937,230.8951,0.1516853932584269,0.2209737827715356,5.262172284644195,4417.761895155913,23765720.0,0.036836095,2.85421365881766,9,35963.613,223.58182,0.9267981,0.300101,261,348
143,anomaly,251,0.9766536964980544,0,0,0,0,0,0,0,0,0,0.583235,5120.692,49.35645643391853,264.16070556640625,214.50555,0.0239043824701195,0.1553784860557769,2.681274900398406,5340.263368417138,9373668.0,0.03410582,0.93800796812749,5,14477.736,587.42194,0.8917982,0.30395848,82,5
144,anomaly,8,0.0661157024793388,1,0,1,0,0,0,0,0,0,0.4670092,659.6187,0.1431700140237808,1.1453601121902466,188.33484,0.0,0.0,1.25,0.1639812233245567,193817.42,0.02161554,0.2142857142857142,2,1654.9388,310.50204,0.6915405,0.31338626,0,0
146,anomaly,22,0.4489795918367347,1,0,0,0,0,0,0,0,0,0.5964596,799.91266,20.453634132038463,97.29299926757812,228.84428,0.0,0.0454545454545454,1.5454545454545454,1042.7549966373886,334317.28,0.029440688,0.5454545454545455,3,2471.7014,188.81412,0.83227205,0.30186364,4,0
149,anomaly,69,0.8518518518518519,0,0,0,0,0,0,0,0,0,0.5201654,4710.247,36.41949707140093,225.25375366210935,182.69115,0.0289855072463768,0.1159420289855072,2.0144927536231885,2330.0019190972253,6425493.0,0.03115728,0.6909633418584825,4,15974.444,1309.3008,0.86111945,0.30474523,14,0
154,anomaly,37,0.925,0,1,0,0,0,0,0,0,0,0.5228402,1181.3342,19.02246968528709,68.68460845947266,224.22635,0.0,0.027027027027027,1.8108108108108107,496.1691070793266,1227566.2,0.018366162,0.3243243243243243,3,5669.251,396.1033,0.85559607,0.30555508,3,0
162,anomaly,161,0.8655913978494624,1,0,0,0,0,0,0,0,0,0.5879019,1093.8358,38.62098185532952,202.01173400878903,215.20917,0.0,0.062111801242236,2.937888198757764,2271.423627847343,663857.0,0.023288399,1.95861801242236,6,4858.3506,167.2963,0.8730727,0.3049893,45,21
